pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
AU Mic b,AU Mic,1,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>,8.46299910,,,0,0.064500,0.001300,-0.001300,0,,,,,,,,,20.12000,1.57000,-1.72000,0,0.06330,0.00494,-0.00541,0,Mass,0.186000,0.036000,-0.035000,0,,,,,,,,,1,<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>,,,,,,,,,,0.50,0.03,-0.03,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,0.0046250,-0.0046250,8.8100000,0.1000000,-0.1000000,4.5290000,0.0200000,-0.0200000,7.8403800,0.0007310,-0.0007310,2022-05-09,2021-12,2022-05-09
AU Mic c,AU Mic,1,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>,18.85899100,,,0,0.110100,0.002000,-0.002000,0,,,,,,,,,9.60000,2.07000,-2.31000,0,0.03020,0.00651,-0.00727,0,Mass,,,,,,,,,,,,,0,<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>,,,,,,,,,,0.50,0.03,-0.03,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,0.0046250,-0.0046250,8.8100000,0.1000000,-0.1000000,4.5290000,0.0200000,-0.0200000,7.8403800,0.0007310,-0.0007310,2022-05-09,2021-12,2022-05-09
DS Tuc A b,DS Tuc A,1,2,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=NEWTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N/abstract target=ref>Newton et al. 2019</a>,8.13826800,0.00001100,-0.00001100,0,,,,,5.700,0.170,-0.170,0,0.509,0.015,-0.015,0,,,,,,,,,,0.000000,,,0,,,,,850,,,0,0,<a refstr=NEWTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N/abstract target=ref>Newton et al. 2019</a>,G6 V,5428.00,80.00,-80.00,0,0.96,0.03,-0.03,0,1.01,0.06,-0.06,0,0.000,,,0,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h39m39.71s,354.9154673,-69d11m45.75s,-69.1960430,44.0622000,0.0693000,-0.0691000,8.1700000,0.0300000,-0.0300000,6.6760000,0.0340000,-0.0340000,8.3192600,0.0010250,-0.0010250,2019-07-03,2019-07,2019-07-11
GJ 1252 b,GJ 1252,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LUQUE__AMP__PALL_EACUTE__2022 href=https://ui.adsabs.harvard.edu/abs/2022Sci...377.1211L/abstract target=ref>Luque &amp; Pall&eacute; 2022</a>,0.51823310,0.00000840,-0.00000840,0,,,,,1.193,0.074,-0.074,0,0.106,0.007,-0.007,0,1.32000,0.28000,-0.28000,0,0.00415,0.00088,-0.00088,0,Mass,0.000000,,,0,,,,,,,,,0,<a refstr=SHPORER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...890L...7S/abstract target=ref>Shporer et al. 2020</a>,M3,3458.00,140.00,-133.00,0,0.39,0.02,-0.02,0,0.38,0.02,-0.02,0,0.100,0.100,-0.100,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h27m42.88s,306.9286462,-56d27m44.23s,-56.4622865,20.3730000,0.0192000,-0.0192000,12.6800000,0.2000000,-0.2000000,7.9150000,0.0230000,-0.0230000,11.2364000,0.0008060,-0.0008060,2023-07-10,2022-09,2023-07-10
GJ 143 b,GJ 143,1,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>,35.61253000,0.00060000,-0.00062000,0,0.191500,0.005800,-0.006300,0,2.610,0.170,-0.160,0,0.233,0.015,-0.014,0,22.70000,2.20000,-1.90000,0,0.07142,0.00692,-0.00598,0,Mass,0.188000,0.076000,-0.078000,0,,,,,422,15,-14,0,0,<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>,K4.5,4640.00,100.00,-100.00,0,0.69,0.03,-0.03,0,0.73,0.07,-0.07,0,0.003,0.060,-0.060,0,[Fe/H],4.61,0.05,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h27m00.05s,51.7501882,-63d30m00.60s,-63.5001660,16.3200000,0.0071000,-0.0071000,8.0800000,0.0300000,-0.0300000,5.3750000,0.0240000,-0.0240000,7.6790600,0.0002600,-0.0002600,2019-04-22,2019-04,2019-04-25
GJ 3090 b,GJ 3090,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,2.85310540,0.00000230,-0.00000230,0,0.031650,0.000270,-0.000270,0,2.130,0.110,-0.110,0,0.190,0.010,-0.010,0,3.34000,0.72000,-0.72000,0,0.01051,0.00227,-0.00227,0,Mass,0.320000,,,1,,,,,693,18,-18,0,0,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,M2 V,3556.00,70.00,-70.00,0,0.52,0.02,-0.02,0,0.52,0.01,-0.01,0,-0.060,0.120,-0.120,0,[Fe/H],4.73,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h21m45.22s,20.4384281,-46d42m53.00s,-46.7147234,22.4751000,0.0260500,-0.0260500,11.4030000,0.0260000,-0.0260000,7.2940000,0.0260000,-0.0260000,10.5521000,0.0009380,-0.0009380,2023-11-28,2022-07,2023-11-28
GJ 3473 b,GJ 3473,1,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KEMMER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.236K/abstract target=ref>Kemmer et al. 2020</a>,1.19800350,0.00000180,-0.00000190,0,0.015890,0.000620,-0.000620,0,1.264,0.050,-0.049,0,0.113,0.004,-0.004,0,1.86000,0.30000,-0.30000,0,0.00585,0.00094,-0.00094,0,Mass,0.000000,,,0,59.40,5.00,-4.50,0,773,16,-15,0,0,<a refstr=KEMMER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.236K/abstract target=ref>Kemmer et al. 2020</a>,,3347.00,54.00,-54.00,0,0.36,0.01,-0.01,0,0.36,0.02,-0.02,0,0.110,0.190,-0.190,0,[Fe/H],4.81,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h02m22.47s,120.5936065,+03d20m13.79s,3.3371629,27.3644000,0.0376000,-0.0376000,13.7400000,0.0270000,-0.0270000,8.8290010,0.0240000,-0.0240000,12.4650000,0.0003430,-0.0003430,2020-10-16,2020-10,2020-10-22
GJ 357 b,GJ 357,1,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ODDO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..134O/abstract target=ref>Oddo et al. 2023</a>,3.93060000,0.00000200,-0.00000200,0,0.036000,0.000400,-0.000400,0,1.200,0.060,-0.060,0,0.107,0.005,-0.005,0,,,,,,,,,,,,,,,,,,518,44,-44,0,0,<a refstr=ODDO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..134O/abstract target=ref>Oddo et al. 2023</a>,M2.5 V,3505.00,51.00,-51.00,0,0.34,0.01,-0.01,0,0.34,0.01,-0.01,0,-0.120,0.160,-0.160,0,[Fe/H],4.94,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h36m01.79s,144.0074644,-21d39m54.23s,-21.6650634,9.4418100,0.0051100,-0.0051100,10.9100000,0.1000000,-0.1000000,6.4750000,0.0170000,-0.0170000,9.8803600,0.0014400,-0.0014400,2023-08-22,2023-03,2023-08-22
GJ 367 b,GJ 367,1,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GOFFO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230709181G/abstract target=ref>Goffo et al. 2023</a>,0.32192250,0.00000020,-0.00000020,0,0.007090,0.000270,-0.000270,0,0.699,0.024,-0.024,0,0.062,0.002,-0.002,0,0.63300,0.05000,-0.05000,0,0.00199,0.00016,-0.00016,0,Mass,0.060000,0.070000,-0.040000,0,579.00,57.00,-52.00,0,1365,32,-32,0,0,<a refstr=GOFFO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230709181G/abstract target=ref>Goffo et al. 2023</a>,M1.0 V,3522.00,70.00,-70.00,0,0.46,0.01,-0.01,0,0.46,0.01,-0.01,0,-0.010,0.120,-0.120,0,[Fe/H],4.78,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h44m29.15s,146.1214640,-45d46m44.46s,-45.7790165,9.4126300,0.0028350,-0.0028350,10.1530000,0.0440000,-0.0440000,5.7800000,0.0200000,-0.0200000,9.1515900,0.0006500,-0.0006500,2023-08-10,2023-07,2023-08-10
GJ 3929 b,GJ 3929,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BEARD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220710672B/abstract target=ref>Beard et al. 2022</a>,2.61623500,0.00000500,-0.00000500,0,0.025200,0.000500,-0.000500,0,1.090,0.040,-0.040,0,0.097,0.004,-0.004,0,1.75000,0.44000,-0.45000,0,0.00551,0.00138,-0.00142,0,Mass,0.000000,,,0,17.30,0.70,-0.70,0,568,6,-6,0,0,<a refstr=BEARD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220710672B/abstract target=ref>Beard et al. 2022</a>,,3384.00,88.00,-88.00,0,0.32,0.01,-0.01,0,0.31,0.03,-0.02,0,-0.020,0.120,-0.120,0,[Fe/H],4.89,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h58m18.62s,239.5775678,+35d24m29.21s,35.4081141,15.8095000,0.0096000,-0.0095000,12.6750000,0.0230000,-0.0230000,7.8690000,0.0200000,-0.0200000,11.5109000,0.0006810,-0.0006810,2022-08-01,2022-07,2022-08-01
GJ 806 b,GJ 806,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=PALLE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...678A..80P/abstract target=ref>Palle et al. 2023</a>,0.92632370,0.00000090,-0.00000090,0,0.014060,0.000300,-0.000300,0,1.331,0.023,-0.023,0,0.119,0.002,-0.002,0,1.90000,0.17000,-0.17000,0,0.00598,0.00053,-0.00053,0,Mass,,,,,130.00,6.00,-6.00,0,940,10,-10,0,0,<a refstr=PALLE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...678A..80P/abstract target=ref>Palle et al. 2023</a>,M1.5 V,3600.00,16.00,-16.00,0,0.41,0.00,0.00,0,0.41,0.01,-0.01,0,-0.280,0.070,-0.070,0,[Fe/H],4.98,0.12,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m04.73s,311.2697002,+44d30m00.85s,44.5002351,12.0445000,0.0043500,-0.0043500,10.7900000,0.1000000,-0.1000000,6.5330000,0.0160000,-0.0160000,9.8246100,0.0007590,-0.0007590,2023-11-28,2023-10,2023-11-28
HD 108236 b,HD 108236,1,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,3.79596300,0.00002500,-0.00003400,0,0.045270,0.000960,-0.000880,0,1.615,0.051,-0.051,0,0.144,0.005,-0.005,0,,,,,,,,,,0.045000,0.039000,-0.033000,0,,,,,,,,,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,,5660.00,61.00,-61.00,0,0.88,0.01,-0.01,0,0.87,0.05,-0.05,0,-0.280,0.040,-0.040,0,[Fe/H],4.49,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978000,0.1943000,-0.1932000,9.2500000,0.0300000,-0.0300000,7.6370000,0.0310000,-0.0310000,9.0874500,0.0001570,-0.0001570,2021-01-21,2021-02,2021-01-28
HD 108236 c,HD 108236,1,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,6.20344900,0.00004900,-0.00004600,0,0.062000,0.001200,-0.001200,0,2.071,0.052,-0.052,0,0.185,0.005,-0.005,0,,,,,,,,,,0.034000,0.042000,-0.025000,0,,,,,,,,,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,,5660.00,61.00,-61.00,0,0.88,0.01,-0.01,0,0.87,0.05,-0.05,0,-0.280,0.040,-0.040,0,[Fe/H],4.49,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978000,0.1943000,-0.1932000,9.2500000,0.0300000,-0.0300000,7.6370000,0.0310000,-0.0310000,9.0874500,0.0001570,-0.0001570,2021-01-21,2021-02,2021-01-28
HD 108236 d,HD 108236,1,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,14.17568500,0.00008300,-0.00010000,0,0.107400,0.002300,-0.002300,0,2.539,0.062,-0.065,0,0.227,0.006,-0.006,0,,,,,,,,,,0.055000,0.038000,-0.035000,0,,,,,,,,,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,,5660.00,61.00,-61.00,0,0.88,0.01,-0.01,0,0.87,0.05,-0.05,0,-0.280,0.040,-0.040,0,[Fe/H],4.49,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978000,0.1943000,-0.1932000,9.2500000,0.0300000,-0.0300000,7.6370000,0.0310000,-0.0310000,9.0874500,0.0001570,-0.0001570,2021-01-21,2021-02,2021-01-28
HD 108236 e,HD 108236,1,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,19.59002500,0.00008300,-0.00008900,0,0.136700,0.002200,-0.002000,0,3.083,0.052,-0.052,0,0.275,0.005,-0.005,0,,,,,,,,,,0.058000,0.032000,-0.036000,0,,,,,,,,,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,,5660.00,61.00,-61.00,0,0.88,0.01,-0.01,0,0.87,0.05,-0.05,0,-0.280,0.040,-0.040,0,[Fe/H],4.49,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978000,0.1943000,-0.1932000,9.2500000,0.0300000,-0.0300000,7.6370000,0.0310000,-0.0310000,9.0874500,0.0001570,-0.0001570,2021-01-21,2021-02,2021-01-28
HD 109833 b,HD 109833,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=WOOD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221203266W/abstract target=ref>Wood et al. 2022</a>,9.18852600,0.00002600,-0.00002600,0,,,,,2.888,0.152,-0.127,0,0.258,0.014,-0.011,0,,,,,,,,,,0.180000,0.240000,-0.120000,0,,,,,,,,,0,<a refstr=WOOD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221203266W/abstract target=ref>Wood et al. 2022</a>,,5881.00,50.00,-50.00,0,1.00,0.04,-0.04,0,1.08,0.05,-0.05,0,-0.070,0.080,-0.080,0,[M/H],4.45,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h39m06.21s,189.7758591,-74d34m26.47s,-74.5740205,79.5561000,0.1488000,-0.1483000,9.2900000,0.0300000,-0.0300000,7.8200000,0.0260000,-0.0260000,9.1365700,0.0004020,-0.0004020,2022-12-17,2022-12,2022-12-17
HD 109833 c,HD 109833,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=WOOD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221203266W/abstract target=ref>Wood et al. 2022</a>,13.90014800,0.00005700,-0.00005700,0,,,,,2.590,0.196,-0.175,0,0.231,0.017,-0.016,0,,,,,,,,,,0.300000,0.210000,-0.190000,0,,,,,,,,,0,<a refstr=WOOD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221203266W/abstract target=ref>Wood et al. 2022</a>,,5881.00,50.00,-50.00,0,1.00,0.04,-0.04,0,1.08,0.05,-0.05,0,-0.070,0.080,-0.080,0,[M/H],4.45,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h39m06.21s,189.7758591,-74d34m26.47s,-74.5740205,79.5561000,0.1488000,-0.1483000,9.2900000,0.0300000,-0.0300000,7.8200000,0.0260000,-0.0260000,9.1365700,0.0004020,-0.0004020,2022-12-17,2022-12,2022-12-17
HD 110082 b,HD 110082,1,2,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=TOFFLEMIRE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..171T/abstract target=ref>Tofflemire et al. 2021</a>,10.18271000,0.00004000,-0.00004000,0,0.113000,0.009000,-0.013000,0,3.200,0.100,-0.100,0,0.285,0.009,-0.009,0,,,,,,,,,,0.200000,0.200000,-0.100000,0,,,,,,,,,0,<a refstr=TOFFLEMIRE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..171T/abstract target=ref>Tofflemire et al. 2021</a>,F8 V,6200.00,100.00,-100.00,0,1.19,0.06,-0.06,0,1.21,0.06,-0.06,0,0.080,0.050,-0.050,0,[Fe/H],4.20,0.30,-0.30,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h50m21.43s,192.5892855,-88d07m16.00s,-88.1211107,105.0960000,0.2660000,-0.2660000,9.2300000,0.0300000,-0.0300000,8.0020000,0.0310000,-0.0310000,9.1152300,0.0003400,-0.0003400,2021-02-25,2021-04,2021-03-04
HD 110113 b,HD 110113,1,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=OSBORN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.4842O/abstract target=ref>Osborn et al. 2021</a>,2.54100000,0.00050000,-0.00100000,0,0.035000,0.001000,-0.001000,0,2.050,0.120,-0.120,0,0.183,0.011,-0.011,0,4.55000,0.62000,-0.62000,0,0.01432,0.00195,-0.00195,0,Mass,0.093000,0.079000,-0.064000,0,735.49,29.39,-29.39,0,1371,14,-14,0,0,<a refstr=OSBORN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.4842O/abstract target=ref>Osborn et al. 2021</a>,G,5732.00,50.00,-50.00,0,0.97,0.02,-0.02,0,1.00,0.06,-0.06,0,0.140,0.020,-0.020,0,[Fe/H],4.46,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h40m08.78s,190.0365636,-44d18m43.48s,-44.3120777,106.3070000,0.7240000,-0.7150000,10.0900000,0.0300000,-0.0300000,8.5020000,0.0240000,-0.0240000,9.9103600,0.0004520,-0.0004520,2021-02-05,2021-04,2021-02-11
HD 1397 b,HD 1397,1,1,1,Transit,2018,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=NIELSEN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A.100N/abstract target=ref>Nielsen et al. 2019</a>,11.53533000,0.00079000,-0.00080000,0,0.109700,0.001100,-0.001300,0,11.500,0.280,-0.303,0,1.026,0.025,-0.027,0,131.89945,6.35660,-6.35660,0,0.41500,0.02000,-0.02000,0,Mass,0.251000,0.020000,-0.019000,0,356.00,12.00,-12.00,0,1228,10,-10,0,0,<a refstr=NIELSEN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A.100N/abstract target=ref>Nielsen et al. 2019</a>,,5521.00,60.00,-60.00,0,2.34,0.05,-0.06,0,1.32,0.04,-0.05,0,0.290,0.090,-0.090,0,[Fe/H],3.82,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h17m47.32s,4.4471631,-66d21m32.14s,-66.3589285,79.5702000,0.1738000,-0.1731000,7.7900000,0.0300000,-0.0300000,5.9880000,0.0180000,-0.0180000,7.5933600,0.0002780,-0.0002780,2019-07-19,2019-03,2019-07-25
HD 152843 b,HD 152843,1,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=EISNER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.1332E/abstract target=ref>Eisner et al. 2021</a>,11.62640000,0.00220000,-0.00250000,0,0.105300,0.003000,-0.003100,0,3.410,0.140,-0.120,0,0.304,0.012,-0.011,0,11.56000,6.58000,-6.14000,0,0.03637,0.02070,-0.01932,0,Mass,0.140000,0.250000,-0.100000,0,255.70,21.60,-19.70,0,,,,,0,<a refstr=EISNER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.1332E/abstract target=ref>Eisner et al. 2021</a>,G0,6310.00,100.00,-100.00,0,1.43,0.02,-0.02,0,1.15,0.04,-0.04,0,-0.160,0.050,-0.050,0,[Fe/H],4.19,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h55m08.37s,253.7848853,+20d29m29.49s,20.4915240,107.8980000,0.3180000,-0.3160000,8.8550000,0.0020000,-0.0020000,7.6290000,0.0200000,-0.0200000,8.7641200,0.0002370,-0.0002370,2021-06-11,2021-05,2021-06-11
